,WHAT IS YOUR GENDER?,Do you  have any basic knowledge about AI tools?,"Have you ever used any AI tools? (like chatgpt ,quillbot, bard etc)","Will the unemployment increase in the coming years due to AI modifications?
", In your opinion which AI tool is mostly used for learning purposes?,Have you personally used or experienced AI tools in an educational context?,Do you believe that AI has the potential to enhance the learning experience in education?,In which subjects do you think AI could be most beneficial in education?,"If you are a teacher or educator, do you think AI can assist in improving teaching methods and materials?","If you are a student, do you think AI can enhance your learning experience?",Have you personally benefited from AI tools in your education?,What are the potential challenges and risks of using AI in education?,Do the AI tools effect the students' minds?
2023/09/28 10:46:33 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,QUILL BOT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 10:49:26 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Discrete Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.",prefer not to say,They can have a bad effect on our thinking.,They can have a good Effect based on their usage.
2023/09/28 10:53:33 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,To some extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 10:54:35 pm GMT+5,MALE,,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will enhance the teaching capabilities of teachers.,Mathematics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 11:01:56 pm GMT+5,MALE,Very basic knowledge.,No,Depends on what kind of people are using it.,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Discrete Mathematics,Surely to a great extent,I have never used AI tools.,prefer not to say,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 11:03:26 pm GMT+5,MALE,"No, I have no idea.",No,Depends on the usage of AI.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Mathematics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.",prefer not to say,If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 11:03:49 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on what kind of people are using it.,BARD,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Mathematics,Surely to a great extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 11:46:52 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,No idea,Maybe in future if its trend keeps on going.,It will provide opportunities to more peers.,,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/29 12:30:32 am GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,QUILL BOT,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,To some extent,I have never used AI tools.,"Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a good Effect based on their usage.
2023/09/29 12:31:45 am GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,BARD,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Discrete Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/29 12:36:29 am GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",prefer not to say,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/29 4:18:57 am GMT+5,MALE,"No, I have no idea.",No,Depends on what kind of people are using it.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Discrete Mathematics,To some extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/29 6:11:24 am GMT+5,MALE,"Yes, I was taught about it growing up.",No,Depends on the usage of AI.,No idea,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,To some extent,It can help to produce effective ideas.,prefer not to say,They can have a bad effect on our thinking.,Rather not say
2023/09/29 6:54:42 am GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/29 7:20:33 am GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/29 7:20:57 am GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,prefer not to say,They can have a bad effect on our thinking.,They can have a good Effect based on their usage.
2023/09/29 8:48:07 am GMT+5,MALE,"No, I have no idea.",No,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Mathematics,Surely to a great extent,I have never used AI tools.,prefer not to say,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/29 10:48:50 am GMT+5,MALE,Very basic knowledge.,Yes,Rather not have an opinion,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Mathematics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,Rather not say
2023/09/29 11:52:14 am GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/29 1:32:24 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Quantum Physics,Surely to a great extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/29 4:22:41 pm GMT+5,FEMALE,"No, I have no idea.",No,I have no idea.,No idea,Maybe in future if its trend keeps on going.,It will enhance the teaching capabilities of teachers.,Mathematics,I'm neither a teacher nor a educator,I have never used AI tools.,prefer not to say,If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/29 4:25:09 pm GMT+5,FEMALE,"No, I have no idea.",No,I have no idea.,No idea,"No, its usage is not my cup of tea.",It will modify the way we learn..,Quantum Physics,I'm neither a teacher nor a educator,I have never used AI tools.,prefer not to say,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/30 12:09:08 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,,,It can help to produce effective ideas.,,,They can have a good Effect based on their usage.
2023/09/30 12:11:34 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,BARD,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Discrete Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,Rather not say
2023/09/30 3:24:50 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/30 4:03:37 pm GMT+5,MALE,Very basic knowledge.,No,Depends on the usage of AI.,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can have a bad effect on our thinking.,Rather not say
